name_product,product_link,price_sale,price_original,discount,sold,rating,image_link
Exsport Square Coin Pouch -  Emerald Green,https://www.tokopedia.com/exsportstore/exsport-square-coin-pouch-emerald-green-1730931456091063544?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp94.050,Rp99.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/28/385fc9e4-acc2-414f-9c6d-3d106c80f2c0.jpg
Exsport Square Coin Pouch -  Light Yellow,https://www.tokopedia.com/exsportstore/exsport-square-coin-pouch-light-yellow-1730931456246383864?extParam=src%3Dshop%26whid%3D14219516&aff_unique_id=&channel=others&chain_key=,Rp94.050,Rp99.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/28/77ee3f86-bb31-4db0-9ad6-00ff01e784af.jpg
Exsport Square Coin Pouch -  Purple,https://www.tokopedia.com/exsportstore/exsport-square-coin-pouch-purple-1730931442383750392?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp94.050,Rp99.000,5%,1 terjual,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/28/85148422-33ff-44e9-b46b-2cfe7ecfe4ee.jpg
Exsport Daily Laptop Handbag -  Blueberry,https://www.tokopedia.com/exsportstore/exsport-daily-laptop-handbag-blueberry-1730931441235297528?extParam=src%3Dshop%26whid%3D14219516&aff_unique_id=&channel=others&chain_key=,Rp369.550,Rp389.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/28/c52d751c-716c-4910-bc4c-4888e58fdad7.jpg
Exsport Daily Laptop Handbag -  Emerald Green,https://www.tokopedia.com/exsportstore/exsport-daily-laptop-handbag-emerald-green-1730931423804425464?extParam=src%3Dshop%26whid%3D14219516&aff_unique_id=&channel=others&chain_key=,Rp369.550,Rp389.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/28/b70dc59f-ca37-4afd-9b56-3aa625cf85ac.jpg
Exsport Daily Laptop Handbag -  Dark Olive,https://www.tokopedia.com/exsportstore/exsport-daily-laptop-handbag-dark-olive-1730931422873289976?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp369.550,Rp389.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/28/c885a039-4242-4b2d-bb56-8faf19ebea80.jpg
"Exsport Fleur-Classic ""RR01 1979"" Backpack -  Cream",https://www.tokopedia.com/exsportstore/exsport-fleur-classic-rr01-1979-backpack-cream-1730910341624005880?extParam=src%3Dshop%26whid%3D14219516&aff_unique_id=&channel=others&chain_key=,Rp445.550,Rp469.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/24/431c53e3-400e-4d49-980f-eabc3d77aa4a.jpg
"Exsport Fleur-Classic ""RR01 1979"" Backpack -  Blueberry",https://www.tokopedia.com/exsportstore/exsport-fleur-classic-rr01-1979-backpack-blueberry-1730910339830088952?extParam=src%3Dshop%26whid%3D14219516&aff_unique_id=&channel=others&chain_key=,Rp445.550,Rp469.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/24/7fc2538a-c178-4668-82db-35e9650d41ba.jpg
Exsport Go Active Mini Sling Bag -  Light Pink,https://www.tokopedia.com/exsportstore/exsport-go-active-mini-sling-bag-light-pink-1730908678517654776?extParam=src%3Dshop%26whid%3D14219516&aff_unique_id=&channel=others&chain_key=,Rp198.550,Rp209.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/24/6ac7dd38-a94c-453f-a31b-68892cd2b88f.jpg
Exsport Go Active Mini Sling Bag -  Purple,https://www.tokopedia.com/exsportstore/exsport-go-active-mini-sling-bag-purple-1730908664022926584?extParam=src%3Dshop%26whid%3D14219516&aff_unique_id=&channel=others&chain_key=,Rp198.550,Rp209.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/24/e05eed9a-17b7-4fbb-9fed-bcea35d515ff.jpg
